tipo,ordem,fc,fase_zero,rp,rs,rmse
ellip,5,800,True,0.1,30.0,0.33779881310053356
cheby2,4,2200,True,0.5,60.0,0.3378713709401019
ellip,7,800,True,0.1,30.0,0.33820941274068284
cheby2,8,1200,True,0.5,40.0,0.3384197613049011
cheby2,8,1500,True,0.5,60.0,0.33848191032623687
ellip,5,800,True,0.1,40.0,0.33856072879946897
cheby1,5,800,True,0.1,40.0,0.3386321385494856
cheby2,5,1800,True,0.5,40.0,0.3387334952383229
cheby2,8,1100,True,0.5,30.0,0.3387512883531338
ellip,5,800,True,0.1,50.0,0.33877289059625454
ellip,5,800,True,0.1,60.0,0.3387929780398143
cheby2,5,2300,True,0.5,60.0,0.33885796848937494
butter,8,1200,True,0.5,40.0,0.3390049389297162
ellip,7,800,True,0.1,40.0,0.33940706676073024
cheby2,5,1100,True,0.5,30.0,0.33941147647213915
cheby2,7,1200,True,0.5,30.0,0.3394909297164933
cheby2,7,1400,True,0.5,40.0,0.33951824403618397
cheby2,6,1400,True,0.5,30.0,0.3395410211872183
cheby2,6,2000,True,0.5,60.0,0.3396680232391661
cheby2,6,1600,True,0.5,40.0,0.33985104401835753
cheby2,8,1400,True,0.5,50.0,0.3398811816617079
cheby2,6,1800,True,0.5,50.0,0.3399981757445595
cheby2,7,1600,True,0.5,50.0,0.34003676813860223
ellip,3,1000,True,0.1,30.0,0.34012928202003295
cheby2,5,1600,True,0.5,30.0,0.34018773785285433
butter,5,1300,True,0.5,40.0,0.3402206343285506
cheby2,8,1600,True,0.5,60.0,0.3404200132938118
ellip,7,800,True,0.1,50.0,0.3405688946787978
cheby2,7,1800,True,0.5,60.0,0.3410531747465418
cheby2,6,1000,True,0.5,30.0,0.3411343066823984
cheby2,8,1300,True,0.5,40.0,0.341232799217924
cheby2,7,1300,True,0.5,30.0,0.341306651601744
ellip,3,1000,True,0.1,40.0,0.3413282376792139
cheby2,8,1500,True,0.5,50.0,0.34170929297610503
ellip,7,800,True,0.1,60.0,0.3417421738968584
cheby1,5,900,True,0.1,40.0,0.3418078081179435
ellip,3,1000,True,0.1,50.0,0.3419887065226008
cheby2,5,2100,True,0.5,50.0,0.3421211841705893
cheby2,7,1500,True,0.5,40.0,0.34213445825049416
butter,6,1300,True,0.5,40.0,0.3421408503209552
ellip,5,900,True,0.1,60.0,0.34218852303156577
ellip,3,1000,True,0.1,60.0,0.3423178582372334
ellip,5,900,True,0.1,50.0,0.3423447585218391
ellip,5,900,True,0.1,30.0,0.3423833686538759
ellip,5,900,True,0.1,40.0,0.34247646159305417
cheby2,3,3000,True,0.5,50.0,0.3425616048789092
cheby1,3,1000,True,0.1,40.0,0.3426145559032867
cheby2,8,1200,True,0.5,30.0,0.3426943372835487
butter,3,1400,True,0.5,40.0,0.34272941130753937
cheby2,8,1400,True,0.5,40.0,0.34273721007740987
cheby2,3,2500,True,0.5,50.0,0.34283629678247135
cheby2,6,1500,True,0.5,30.0,0.34320865296846753
cheby2,8,1300,True,0.5,30.0,0.3435301658728861
butter,7,1300,True,0.5,40.0,0.34356972980521855
cheby2,7,1400,True,0.5,30.0,0.3437490699191689
cheby2,8,1700,True,0.5,60.0,0.3438610111613376
cheby1,5,1000,True,0.1,40.0,0.34392942493749007
cheby2,7,1700,True,0.5,50.0,0.3440620367239574
cheby2,3,2300,True,0.5,30.0,0.3443039328134036
ellip,5,1000,True,0.1,60.0,0.3443087139401622
cheby2,4,1900,True,0.5,30.0,0.34436367277721724
cheby2,2,3000,True,0.5,30.0,0.3444042612144472
cheby2,4,2500,True,0.5,50.0,0.34450671532276994
cheby2,4,2200,True,0.5,40.0,0.34457028615066565
ellip,5,1000,True,0.1,50.0,0.3446075576852578
ellip,5,1100,True,0.1,40.0,0.34465992818532004
butter,8,1300,True,0.5,40.0,0.34468148150315175
ellip,7,900,True,0.1,30.0,0.34468902980954336
cheby2,6,1700,True,0.5,40.0,0.3446984668870243
ellip,5,1100,True,0.1,30.0,0.3448191720886787
ellip,5,1100,True,0.1,50.0,0.34483040184933533
cheby2,5,1900,True,0.5,40.0,0.34492338591740634
cheby2,8,900,True,0.5,30.0,0.34497129501832197
ellip,5,1100,True,0.1,60.0,0.34505191924566536
ellip,5,1000,True,0.1,40.0,0.3451441798292705
cheby2,8,1600,True,0.5,50.0,0.3454616056125844
cheby2,6,1900,True,0.5,50.0,0.34550848038300486
cheby2,6,2100,True,0.5,60.0,0.34554301019085365
cheby1,5,1100,True,0.1,40.0,0.34567026019860403
cheby2,3,2700,True,0.5,40.0,0.34587656628011665
ellip,7,900,True,0.1,40.0,0.3459269107582605
ellip,5,1000,True,0.1,30.0,0.3460046340606772
cheby2,7,1900,True,0.5,60.0,0.34605674123682817
butter,2,1500,True,0.5,40.0,0.3461662181733568
cheby2,5,1700,True,0.5,30.0,0.34619744813320863
cheby2,5,2400,True,0.5,60.0,0.34643269415835426
cheby2,2,2500,True,0.5,30.0,0.3464417933790804
cheby2,8,1500,True,0.5,40.0,0.3465055985363251
cheby2,7,1600,True,0.5,40.0,0.34663384997834623
butter,4,1400,True,0.5,40.0,0.3467144434012977
ellip,7,900,True,0.1,50.0,0.34676318451752663
cheby2,8,1400,True,0.5,30.0,0.34692566752335335
cheby2,4,2800,True,0.5,60.0,0.34720888540561734
ellip,7,900,True,0.1,60.0,0.347300094058891
ellip,5,1200,True,0.1,30.0,0.3477479242251044
cheby1,7,800,True,0.1,40.0,0.3478446309420023
ellip,5,1200,True,0.1,40.0,0.3481030047134827
cheby2,5,1700,True,0.5,60.0,0.34812880122450124
cheby2,7,1500,True,0.5,30.0,0.34833012388928475
ellip,7,1200,True,0.1,30.0,0.34861442990134583
ellip,5,1200,True,0.1,50.0,0.34864501894006555
cheby2,6,1600,True,0.5,30.0,0.3487324945532768
cheby2,8,1800,True,0.5,60.0,0.34902562653469565
ellip,7,1100,True,0.1,30.0,0.34909795361143786
butter,5,1400,True,0.5,40.0,0.34915313864800324
ellip,5,1200,True,0.1,60.0,0.34916003868649936
cheby1,7,900,True,0.1,40.0,0.3491844252222402
ellip,7,1000,True,0.1,30.0,0.3492892135319653
cheby2,6,1100,True,0.5,40.0,0.3496899562251431
ellip,3,1100,True,0.1,30.0,0.349737849072312
ellip,7,1200,True,0.1,40.0,0.34981463971129884
